compound	140905_32_1_RT_pos.mzML	140905_32_2_RT_pos.mzML	140905_32_3_RT_pos.mzML	140905_2_1_RT_pos.mzML	140905_2_2_RT_pos.mzML	140905_2_3_RT_pos.mzML	140905_2_4_RT_pos.mzML	140905_0_5_2_RT_pos.mzML	140905_0_5_3_RT_pos.mzML	140905_0_5_4_RT_pos.mzML	140905_16_3_RT_pos.mzML	140905_16_1_RT_pos.mzML	140905_16_2_RT_pos.mzML	140905_16_4_RT_pos.mzML	140905_0_1_RT_pos.mzML	140905_0_2_RT_pos.mzML	140905_0_3_RT_pos.mzML	140905_0_4_RT_pos.mzML	140905_1_2_RT_pos.mzML	140905_1_1_RT_pos.mzML	140905_1_3_RT_pos.mzML	140905_1_4_RT_pos.mzML	140905_8_1_RT_pos.mzML	140905_8_2_RT_pos.mzML	140905_8_3_RT_pos.mzML	140905_8_4_RT_pos.mzML	140905_4_2_RT_pos.mzML	140905_4_3_RT_pos.mzML	140905_4_1_RT_pos.mzML	140905_4_4_RT_pos.mzML	
Isoleucine	497551.37	558343.37	656535.80	915060.76	730270.09	465180.71	486008.01	557986.86	596671.36	786297.24	913780.10	651705.68	744137.18	555589.56	572219.23	551417.11	513333.34	589557.37	572627.35	963801.65	497971.10	595532.45	736468.26	711282.33	648812.24	691564.33	944123.05	555148.03	689939.76	547105.75	
Leucine	304548.03	361627.77	431069.16	540132.42	440714.44	249752.28	273169.20	310818.97	375651.36	487667.85	588837.43	425834.39	460620.99	333906.75	326255.22	292069.33	295942.35	345581.49	330583.21	592296.92	282167.80	332494.70	448254.84	432999.11	393744.81	418732.14	591581.13	338900.15	420806.02	311382.42	
proline	645383.29	724002.84	865766.11	1111081.83	909064.62	536099.00	532997.14	1000429.84	1285118.73	1335424.39	1059761.30	774771.31	937105.83	637611.08	686615.10	756371.97	540014.23	698673.99	1044447.91	1433061.60	1031242.73	1067251.59	927761.71	916526.84	863434.52	842043.32	1283394.01	839842.88	941410.66	734734.34	
succinic acid	62034.75	62864.49	53668.31	2997070.31	560322.08	344395.06	350131.58	5739293.57	6799706.53	5138271.13	102969.37	90967.73	84406.68	69050.33	2830232.07	4099541.38	331984.80	382507.79	5431891.06	7494461.33	5260091.37	4782375.68	497736.21	425146.16	421206.09	592627.54	2366097.55	2202086.06	2581378.01	2262316.46	
Choline	30633.76	27562.04	39695.05	31119.95	34791.58	27359.62	31260.10	28499.68	27026.48	35947.73	33926.07	32414.95	30998.24	34789.24	30883.42	24870.15	30673.79	34266.54	36008.93	30722.19	32256.71	26657.67	37799.65	37615.55	32243.34	30404.75	32610.53	31134.69	35073.97	37620.63	
cytosine	606791.61	684952.75	824924.19	2069470.62	1923928.80	1021361.89	1050129.98	1271575.24	1351147.83	1499583.43	947598.88	786769.95	913432.89	560317.63	1163852.55	1113048.25	1034376.46	1163495.61	1169403.73	1878875.08	1347040.57	1546644.88	1057834.34	915955.66	873766.49	925535.14	1633646.60	1260188.75	1528547.13	1043951.58	
betaine	23190777.90	25857598.60	29749647.80	30642509.70	26134086.20	17646163.00	17437292.50	24892170.90	24330418.80	28506107.80	31148882.30	26032754.70	27143972.70	22031196.80	22630021.20	24630089.20	19180483.30	21182371.10	23054165.70	29159084.40	23968842.20	25708312.40	28685960.00	24487357.00	26177232.80	27320867.30	31560029.40	28152564.70	28265681.50	23027161.50	
nicotinic acid	240447.48	255958.99	358239.39	273545.94	87416.08	112927.81	48988.17	194398.14	113481.96	203966.25	1247574.33	841011.20	1139513.51	834850.33	51885.30	83844.08	 0.00	 0.00	152547.51	153037.96	225022.65	105988.14	986301.54	1323482.10	1054065.04	1210896.94	825905.82	496280.95	584285.35	400151.07	
asparagine	507.90	1177.59	1968.66	9977.60	13203.06	7065.60	12587.72	4363.31	3886.39	8319.65	10050.63	4934.29	7342.30	7408.14	8329.95	8190.70	7158.66	13014.74	11952.26	7005.53	1862.08	5113.49	9772.92	16486.51	12751.60	9859.08	12766.96	6063.14	7524.46	4123.35	
adenine	3418630.20	3393403.30	3021971.00	144739090.00	13362727.70	7021133.10	7261498.10	89936502.00	83045770.00	107188767.00	4667131.90	4532229.10	4120343.70	4158111.10	136994806.00	132889754.00	7106905.50	8660476.10	108494486.00	86250580.00	95795409.00	116483783.00	23027781.00	20422544.20	19224880.30	28941078.60	120468740.00	111397540.00	127545616.00	115415736.00	
